sofifa_id,player_url,short_name,long_name,age,nationality,club_name,league_name,player_positions,potential,weight_kg,foot,best_overall,best_position,growth,joined,loan_date_end,value,wage,release_clause,total_attacking,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,total_skill,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,total_movement,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,total_power,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,total_mentality,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,total_defending,defending_marking,defending_standing_tackle,defending_sliding_tackle,total_goalkeeping,gk_diving,gk_handling,gk_positioning,gk_reflexes,total_stats,base_stats,weak_foot,skill_moves,attacking_work_rate,defensive_work_rate,international_reputation,pace_/_diving,shooting_/_handling,passing_/_kicking,dribbling_/_reflexes,defending_/_pace,physical_/_positioning
230666,/player/230666/gabriel-fernando-de-jesus/200061/,Gabriel Jesus,Gabriel Fernando de Jesus,22,Brazil,Manchester City,[England] Premier Le,ST,88,73kg / 161lbs,Right,83,ST,6,"Aug 3, 2016",N/A,€31M,€135K,€63.6M,376,66,84,76,76,74,367,86,76,54,66,85,436,87,83,91,85,90,375,78,78,83,63,73,343,73,32,86,77,75,81,111,53,30,28,48,13,8,6,15,2056,436,3,4,High,High,2,85,80,72,86,42,71
229880,/player/229880/aaron-wan-bissaka/200061/,A. Wan-Bissaka,Aaron Wan-Bissaka,21,England,Manchester United,[England] Premier Le,RB,89,72kg / 159lbs,Right,83,RB,7,"Jun 29, 2019",N/A,€27.5M,€88K,€58.8M,290,71,44,58,74,43,322,82,62,45,56,77,411,85,88,85,80,73,325,68,62,78,71,46,347,78,82,67,64,56,76,256,81,85,90,39,9,8,8,8,1990,440,2,4,Medium,High,1,87,51,67,80,81,74
220407,/player/220407/martin-dubravka/200061/,M. Dúbravka,Martin Dúbravka,30,Slovakia,Newcastle United,[England] Premier Le,GK,82,80kg / 176lbs,Right,82,GK,0,"Jun 9, 2018",N/A,€15M,€43K,€28.5M,93,12,10,12,48,11,127,19,15,13,45,35,274,49,44,47,74,60,253,61,75,40,60,17,140,28,25,12,55,20,59,48,19,15,14,407,79,80,82,85,1342,453,2,1,Medium,Medium,1,79,80,81,85,46,82
200949,/player/200949/lucas-rodrigues-m-silva/200061/,Lucas Moura,Lucas Rodrigues M. Silva,26,Brazil,Tottenham Hotspur,[England] Premier Le,RM,82,70kg / 154lbs,Right,82,RM,0,"Jan 31, 2018",N/A,€24M,€110K,€45.6M,358,73,77,62,74,72,382,88,71,70,70,83,450,95,89,93,81,92,381,79,92,76,58,76,347,72,50,81,70,74,82,118,31,43,44,54,9,10,7,14,2090,438,4,4,High,Medium,3,92,77,72,87,43,67
220793,/player/220793/davinson-sanchez/200061/,D. Sánchez,Davinson Sánchez,23,Colombia,Tottenham Hotspur,[England] Premier Le,CB,85,79kg / 174lbs,Right,83,CB,3,"Aug 26, 2017",N/A,€25M,€85K,€49.4M,258,36,40,80,74,28,259,63,30,27,67,72,340,68,79,60,78,55,343,66,75,75,83,44,295,87,81,34,49,44,75,251,82,83,86,47,9,7,6,15,1793,404,2,2,Medium,High,2,74,45,56,66,82,81
225953,/player/225953/steven-bergwijn/200061/,S. Bergwijn,Steven Bergwijn,21,Netherlands,Tottenham Hotspur,[England] Premier Le,CAM,87,78kg / 172lbs,Right,83,CAM,5,"Jan 29, 2020",N/A,€29.5M,€90K,€59.3M,360,75,74,60,84,67,377,87,77,66,62,85,425,88,89,79,79,90,383,83,68,80,80,72,297,44,34,78,80,61,77,106,52,28,26,64,11,14,14,13,2012,437,2,4,Medium,Medium,2,89,75,77,85,39,72
226226,/player/226226/giovani-lo-celso/200061/,G. Lo Celso,Giovani Lo Celso,23,Argentina,Tottenham Hotspur,[England] Premier Le,CAM,87,68kg / 150lbs,Left,85,CAM,5,"Apr 16, 2019","Jun 30, 2020",€29M,€30K,€0,366,78,79,57,83,69,413,85,82,77,83,86,399,76,78,83,82,80,370,82,63,79,70,76,375,76,70,79,85,65,81,190,61,67,62,56,10,7,15,14,2169,459,3,4,High,High,1,77,78,82,85,64,73
201995,/player/201995/felipe-anderson-pereira-gomes/200061/,Felipe Anderson,Felipe Anderson Pereira Gomes,26,Brazil,West Ham United,[England] Premier Le,LM,82,70kg / 154lbs,Right,82,LM,0,"Jul 15, 2018",N/A,€24M,€100K,€45.6M,349,80,72,44,80,73,397,89,77,69,76,86,428,88,89,89,75,87,332,86,33,74,55,84,342,67,69,75,78,53,84,152,47,59,46,43,12,10,5,7,2043,446,4,4,High,Medium,3,89,76,78,87,55,61
205693,/player/205693/sebastien-haller/200061/,S. Haller,Sébastien Haller,25,France,West Ham United,[England] Premier Le,ST,84,82kg / 181lbs,Right,82,ST,2,"Jul 17, 2019",N/A,€27.5M,€105K,€54.3M,369,42,84,86,74,83,305,74,57,46,48,80,343,65,74,68,83,53,387,81,80,72,89,65,361,76,36,83,75,91,81,155,39,61,55,40,6,7,7,6,1960,420,3,3,High,Medium,2,70,80,62,75,51,82
220697,/player/220697/james-maddison/200061/,J. Maddison,James Maddison,22,England,Leicester City,[England] Premier Le,CAM,87,73kg / 161lbs,Right,83,CAM,5,"Jun 20, 2018",N/A,€29.5M,€89K,€58.3M,342,81,72,35,84,70,414,81,85,84,80,84,390,76,74,85,75,80,340,82,54,75,49,80,344,58,45,79,88,74,82,123,44,40,39,65,11,14,12,14,2018,417,4,4,High,Medium,1,75,76,84,82,42,58
224293,/player/224293/ruben-diogo-da-silva-neves/200061/,Rúben Neves,Rúben Diogo da Silva Neves,22,Portugal,Wolverhampton Wanderers,[England] Premier Le,CM,87,80kg / 176lbs,Right,82,CM,5,"Jul 8, 2017",N/A,€29M,€89K,€57.3M,364,78,66,53,85,82,413,76,85,84,86,82,337,64,60,65,78,70,383,86,68,78,67,84,383,82,75,65,85,76,83,212,69,74,69,56,16,12,8,10,2148,441,4,3,Low,High,2,62,75,84,77,70,73
172879,/player/172879/sokratis-papastathopoulos/200061/,Sokratis,Sokratis Papastathopoulos,31,Greece,Arsenal,[England] Premier Le,CB,81,84kg / 185lbs,Right,81,CB,0,"Jul 2, 2018",N/A,€13M,€86K,€24.7M,291,47,47,83,64,50,240,58,29,35,58,60,335,68,76,52,77,62,363,77,82,69,87,48,296,88,76,49,45,38,77,241,80,81,80,36,6,8,12,5,1802,399,2,2,Medium,High,3,72,53,53,59,80,82
