sofifa_id,player_url,short_name,long_name,age,nationality,club_name,league_name,player_positions,potential,weight_kg,foot,best_overall,best_position,growth,joined,loan_date_end,value,wage,release_clause,total_attacking,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,total_skill,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,total_movement,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,total_power,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,total_mentality,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,total_defending,defending_marking,defending_standing_tackle,defending_sliding_tackle,total_goalkeeping,gk_diving,gk_handling,gk_positioning,gk_reflexes,total_stats,base_stats,weak_foot,skill_moves,attacking_work_rate,defensive_work_rate,international_reputation,pace_/_diving,shooting_/_handling,passing_/_kicking,dribbling_/_reflexes,defending_/_pace,physical_/_positioning
176580,/player/176580/luis-suarez/140052/,L. Suárez,Luis Suárez,26,Uruguay,Liverpool,[England] Premier Le,ST,89,81kg / 179lbs,Right,86,ST,0,"Jan 31, 2011",,€32M,€210K,€0,408,77,89,75,82,85,415,92,86,84,64,89,427,88,79,86,89,85,399,84,69,86,76,84,374,78,41,86,84,85,,113,30,45,38,153,27,25,33,37,2289,459,4,4,High,Medium,5,83,86,79,90,42,79
7826,/player/7826/robin-van-persie/140052/,R. van Persie,Robin van Persie,29,Netherlands,Manchester United,[England] Premier Le,ST,89,71kg / 157lbs,Left,86,ST,0,"Aug 17, 2012",,€30M,€240K,€0,422,81,91,73,85,92,414,84,86,81,75,88,376,74,75,81,87,59,380,90,59,72,72,87,347,55,34,90,82,86,,76,23,32,21,39,9,10,7,8,2054,432,4,4,Medium,Low,5,75,90,82,84,33,68
183277,/player/183277/eden-hazard/140052/,E. Hazard,Eden Hazard,22,Belgium,Chelsea,[England] Premier Le,LM,90,74kg / 163lbs,Right,86,LM,2,"Jul 1, 2012",,€36M,€180K,€0,387,82,83,57,86,79,422,90,82,79,82,89,444,91,87,92,84,90,356,79,59,73,63,82,349,54,41,84,85,85,,74,25,27,22,45,11,12,8,8,2077,441,4,4,High,Medium,4,89,82,84,90,32,64
153079,/player/153079/sergio-aguero/140052/,S. Agüero,Sergio Agüero,25,Argentina,Manchester City,[England] Premier Le,ST,90,74kg / 163lbs,Right,86,ST,2,"Jul 28, 2011",,€42M,€190K,€0,401,70,90,71,84,86,397,90,82,72,63,90,440,93,85,86,86,90,377,86,76,66,70,79,337,57,24,87,83,86,,70,25,20,25,59,13,15,11,14,2081,436,4,4,High,Low,4,89,86,77,89,28,67
176635,/player/176635/mesut-ozil/140052/,M. Özil,Mesut Özil,24,Germany,Arsenal,[England] Premier Le,CAM,89,70kg / 154lbs,Left,85,CAM,2,"Sep 2, 2013",,€36.5M,€180K,€0,375,83,73,54,88,77,421,87,84,79,80,91,398,79,71,85,85,78,317,69,53,64,56,75,332,56,24,84,92,76,,72,22,25,25,50,6,14,6,14,1965,407,2,4,Medium,Low,4,75,74,86,87,27,58
168542,/player/168542/david-josue-jimenez-silva/140052/,David Silva,David Josué Jimenez Silva,27,Spain,Manchester City,[England] Premier Le,CAM,88,67kg / 148lbs,Left,86,CAM,1,"Jul 14, 2010",,€24M,€170K,€0,384,81,76,58,89,80,423,87,83,77,85,91,423,83,74,93,85,88,343,76,66,68,53,80,343,51,41,84,90,77,,82,23,30,29,57,13,9,9,13,2055,420,2,4,High,Low,4,78,77,86,89,33,57
54050,/player/54050/wayne-rooney/140052/,W. Rooney,Wayne Rooney,27,England,Manchester United,[England] Premier Le,CF,87,83kg / 183lbs,Right,85,CF,0,"Aug 31, 2004",,€27.5M,€180K,€0,418,78,87,80,84,89,417,83,84,79,85,86,394,75,79,77,86,77,430,91,80,89,85,85,378,89,39,86,83,81,,120,29,54,37,49,10,11,8,7,2206,461,4,3,High,High,4,77,87,83,83,44,87
178088,/player/178088/juan-manuel-mata-garcia/140052/,Juan Mata,Juan Manuel Mata García,25,Spain,Manchester United,[England] Premier Le,CAM,88,63kg / 139lbs,Left,86,CAM,1,"Jan 25, 2014",,€36.5M,€170K,€0,386,83,79,66,87,71,416,86,82,81,78,89,425,85,73,90,88,89,349,74,72,79,52,72,338,52,39,87,89,71,,72,25,22,25,46,9,10,5,8,2032,418,3,4,Medium,Medium,3,78,76,85,88,31,60
20289,/player/20289/yaya-toure/140052/,Y. Touré,Yaya Touré,30,Côte d'Ivoire,Manchester City,[England] Premier Le,CM,86,90kg / 198lbs,Right,84,CM,0,"Jul 2, 2010",,€20.5M,€170K,€0,385,67,82,82,86,68,413,81,80,85,83,84,366,73,79,64,85,65,432,86,79,93,92,82,413,86,81,81,85,80,,238,74,83,81,53,13,14,12,8,2300,489,4,3,Medium,Medium,4,76,82,81,80,80,90
139720,/player/139720/vincent-kompany/140052/,V. Kompany,Vincent Kompany,27,Belgium,Manchester City,[England] Premier Le,CB,87,85kg / 187lbs,Right,84,CB,1,"Aug 22, 2008",,€19M,€170K,€0,316,61,45,84,80,46,337,70,61,52,75,79,333,68,76,63,84,42,374,76,73,70,88,67,332,78,87,41,63,63,,259,84,90,85,38,10,9,8,6,1989,437,3,2,Medium,Medium,4,72,56,70,71,87,81
48940,/player/48940/petr-cech/140052/,P. Čech,Petr Čech,31,Czech Republic,Chelsea,[England] Premier Le,GK,85,90kg / 198lbs,Left,83,GK,0,"Jul 1, 2004",,€6.5M,€150K,€0,135,25,25,25,35,25,140,25,25,25,33,32,281,45,52,49,85,50,181,21,38,32,65,25,141,25,23,25,25,43,,75,25,25,25,408,84,83,83,85,1361,457,3,1,Medium,Medium,4,84,83,73,85,49,83
140601,/player/140601/nemanja-vidic/140052/,N. Vidić,Nemanja Vidić,31,Serbia,Manchester United,[England] Premier Le,CB,85,88kg / 194lbs,Right,83,CB,0,"Jan 5, 2006",,€8M,€150K,€0,272,40,37,89,65,41,260,44,43,48,62,63,279,51,54,50,77,47,324,57,85,64,90,28,315,92,82,26,56,59,,253,85,86,82,45,12,5,8,6,1748,370,3,2,Medium,High,4,53,40,56,52,85,84
146562,/player/146562/santiago-cazorla-gonzalez/140052/,Santi Cazorla,Santiago Cazorla González,28,Spain,Arsenal,[England] Premier Le,CAM,84,66kg / 146lbs,Right,84,CAM,0,"Aug 7, 2012",,€14.5M,€140K,€0,371,83,77,58,86,67,425,87,86,82,84,86,409,79,68,86,85,91,355,78,71,65,59,82,331,55,34,82,85,75,,81,22,31,28,42,6,9,7,15,2014,414,5,4,Medium,Low,3,73,78,85,87,31,60
188152,/player/188152/oscar-dos-santos-emboaba/140052/,Oscar,Oscar dos Santos Emboaba,21,Brazil,Chelsea,[England] Premier Le,CAM,87,68kg / 150lbs,Right,83,CAM,3,"Jul 26, 2012",,€21M,€140K,€0,343,70,75,54,85,59,400,85,77,70,82,86,410,84,79,86,81,80,325,76,66,76,31,76,299,31,34,81,85,68,,134,37,50,47,61,12,10,12,12,1972,408,3,4,Medium,High,3,81,75,80,85,43,44
165239,/player/165239/samir-nasri/140052/,S. Nasri,Samir Nasri,26,France,Manchester City,[England] Premier Le,LM,87,75kg / 165lbs,Right,83,LM,3,"Aug 24, 2011",,€14.5M,€140K,€0,370,81,76,55,85,73,417,86,78,83,82,88,418,79,82,82,83,92,356,75,68,72,64,77,320,33,37,81,86,83,,116,35,37,44,50,5,9,15,8,2047,426,4,4,High,Medium,3,81,76,84,86,39,60
167948,/player/167948/hugo-lloris/140052/,H. Lloris,Hugo Lloris,26,France,Tottenham Hotspur,[England] Premier Le,GK,86,73kg / 161lbs,Left,83,GK,2,"Aug 1, 2012",,€6.5M,€110K,€0,127,25,25,25,27,25,140,25,25,25,31,34,321,65,63,55,84,54,211,23,74,46,43,25,148,31,27,25,25,40,,75,25,25,25,406,86,80,81,88,1428,470,1,1,Medium,Medium,3,86,80,71,88,64,81
190460,/player/190460/christian-eriksen/140052/,C. Eriksen,Christian Eriksen,21,Denmark,Tottenham Hotspur,[England] Premier Le,LM,88,71kg / 157lbs,Right,83,LM,4,"Aug 30, 2013",,€18.5M,€110K,€0,359,84,70,52,84,69,421,84,85,84,82,86,409,85,82,82,81,79,345,78,57,89,47,74,317,35,55,74,86,67,,116,42,52,22,43,9,14,7,6,2010,426,5,4,High,Medium,3,83,72,84,84,47,56
13732,/player/13732/john-terry/140052/,J. Terry,John Terry,32,England,Chelsea,[England] Premier Le,CB,83,90kg / 198lbs,Right,82,CB,0,"Oct 28, 1998",,€4.7M,€110K,€0,296,42,46,90,63,55,245,45,44,31,64,61,253,34,47,44,82,46,320,61,75,67,84,33,320,88,83,38,59,52,,251,83,85,83,48,14,5,15,8,1733,360,4,2,Medium,High,3,41,47,56,52,84,80
34079,/player/34079/ashley-cole/140052/,A. Cole,Ashley Cole,32,England,Chelsea,[England] Premier Le,LB,83,66kg / 146lbs,Left,81,LB,0,"Aug 31, 2006",,€4.7M,€120K,€0,329,76,43,69,82,59,343,73,68,49,76,77,387,74,72,77,88,76,365,77,77,84,69,58,354,78,82,61,62,71,,254,81,85,88,47,14,7,6,6,2079,436,2,3,High,Medium,4,73,56,74,76,82,75
180403,/player/180403/willian-borges-da-silva/140052/,Willian,Willian Borges da Silva,24,Brazil,Chelsea,[England] Premier Le,RM,84,75kg / 165lbs,Right,83,RM,1,"Aug 28, 2013",,€14M,€110K,€0,319,74,75,29,82,59,384,88,74,57,77,88,428,92,86,87,81,82,344,71,46,86,61,80,307,44,55,77,80,51,,82,34,27,21,59,14,12,7,13,1923,424,4,4,High,High,2,89,73,78,87,34,63
13743,/player/13743/steven-gerrard/140052/,S. Gerrard,Steven Gerrard,33,England,Liverpool,[England] Premier Le,CM,83,83kg / 183lbs,Right,81,CM,0,"Nov 5, 1997",,€5.5M,€100K,€0,404,86,79,73,86,80,407,74,84,80,87,82,333,62,66,59,86,60,410,95,71,76,82,86,408,85,72,82,84,85,,201,62,71,68,56,13,15,5,10,2219,457,3,3,Medium,Medium,4,64,84,85,75,68,81
171833,/player/171833/daniel-sturridge/140052/,D. Sturridge,Daniel Sturridge,23,England,Liverpool,[England] Premier Le,ST,86,76kg / 168lbs,Left,83,ST,3,"Jan 2, 2013",,€16M,€100K,€0,372,62,86,73,75,76,358,85,62,68,62,81,404,89,90,78,83,64,380,83,74,72,73,78,316,60,22,85,74,75,,74,25,24,25,49,7,15,5,13,1953,423,2,4,Medium,Low,2,90,83,69,82,29,70
146439,/player/146439/alvaro-negredo-sanchez/140052/,Negredo,Álvaro Negredo Sánchez,27,Spain,Manchester City,[England] Premier Le,ST,83,79kg / 174lbs,Left,82,ST,0,"Jul 19, 2013",,€12M,€120K,€0,380,53,84,84,76,83,366,78,68,71,66,83,355,72,77,68,80,58,407,88,81,72,88,78,346,80,32,84,68,82,,81,25,34,22,48,11,6,7,13,1983,421,3,3,High,High,3,75,83,68,78,35,82
146536,/player/146536/jesus-navas-gonzalez/140052/,Jesús Navas,Jesús Navas González,27,Spain,Manchester City,[England] Premier Le,RW,83,60kg / 132lbs,Right,83,RW,0,"Jul 1, 2013",,€10M,€110K,€0,364,83,67,55,80,79,368,87,80,46,71,84,442,92,90,91,82,87,350,78,70,79,49,74,308,62,33,78,79,56,,73,27,20,26,55,10,10,7,13,1960,414,3,4,Medium,Medium,3,91,71,77,86,29,60
180930,/player/180930/edin-dzeko/140052/,E. Džeko,Edin Džeko,27,Bosnia and Herzegovina,Manchester City,[England] Premier Le,ST,83,84kg / 185lbs,Right,82,ST,0,"Jan 7, 2011",,€12M,€120K,€0,389,70,84,80,71,84,349,82,70,54,59,84,341,69,74,58,81,59,376,88,57,72,79,80,332,51,50,82,75,74,,78,25,28,25,63,9,11,15,15,1928,410,4,3,Medium,Medium,3,72,83,69,79,36,71
181820,/player/181820/stevan-jovetic/140052/,S. Jovetić,Stevan Jovetić,23,Montenegro,Manchester City,[England] Premier Le,CAM,87,79kg / 174lbs,Right,83,CAM,4,"Jul 19, 2013",,€16M,€120K,€0,393,72,82,76,82,81,403,86,84,72,73,88,394,82,81,85,84,62,389,83,76,75,75,80,331,50,30,84,80,87,,103,27,42,34,40,9,7,9,10,2053,434,4,4,High,Medium,3,81,82,78,85,38,70
193080,/player/193080/david-de-gea-quintana/140052/,De Gea,David De Gea Quintana,22,Spain,Manchester United,[England] Premier Le,GK,87,82kg / 181lbs,Right,82,GK,4,"Jul 1, 2011",,€8M,€110K,€0,127,25,25,21,31,25,134,25,21,25,32,31,284,51,55,57,78,43,212,31,67,25,64,25,158,38,30,25,25,40,,71,25,21,25,412,87,75,76,88,1398,465,3,1,Medium,Medium,3,87,75,86,88,53,76
53612,/player/53612/per-mertesacker/140052/,P. Mertesacker,Per Mertesacker,28,Germany,Arsenal,[England] Premier Le,CB,82,90kg / 198lbs,Right,81,CB,0,"Aug 31, 2011",,€8M,€110K,€0,266,38,36,91,71,30,246,39,39,45,58,65,209,29,38,29,85,28,282,71,33,64,89,25,300,69,88,43,58,42,,257,86,86,85,50,12,13,12,8,1610,343,3,2,Low,Medium,3,34,41,57,48,87,76
165229,/player/165229/laurent-koscielny/140052/,L. Koscielny,Laurent Koscielny,27,France,Arsenal,[England] Premier Le,CB,82,75kg / 165lbs,Right,81,CB,0,"Jul 7, 2010",,€8M,€110K,€0,277,54,32,81,75,35,267,62,22,49,67,67,371,80,80,70,79,62,333,54,88,73,71,47,308,86,84,31,56,51,,254,84,87,83,51,13,11,11,7,1861,407,3,2,Medium,High,3,80,40,62,65,85,75
186561,/player/186561/aaron-ramsey/140052/,A. Ramsey,Aaron Ramsey,22,Wales,Arsenal,[England] Premier Le,CM,85,73kg / 161lbs,Right,81,CM,3,"Jun 13, 2008",,€13.5M,€110K,€0,368,74,76,58,84,76,379,81,64,70,82,82,368,73,69,74,77,75,383,81,63,93,69,77,386,75,72,82,81,76,,210,65,77,68,40,6,11,10,8,2134,454,3,3,High,High,3,71,78,79,80,70,76
189461,/player/189461/jack-wilshere/140052/,J. Wilshere,Jack Wilshere,21,England,Arsenal,[England] Premier Le,LM,86,68kg / 150lbs,Left,82,LM,4,"Jan 5, 2009",,€13.5M,€110K,€0,345,75,64,58,84,64,404,84,80,72,83,85,407,82,75,83,80,87,368,75,67,84,69,73,380,83,67,80,85,65,,198,61,67,70,56,6,15,9,11,2158,452,3,3,High,Medium,3,78,69,81,84,65,75
