Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min
2020-2021,Manchester United,David de Gea,2296,44,30,14,0.006097560975609756
2020-2021,Manchester United,Victor Lindelöf,2586,58,29,29,0.011214230471771076
2020-2021,Manchester United,Paul Pogba,1896,35,25,10,0.005274261603375527
2020-2021,Manchester United,Edinson Cavani,1367,27,17,10,0.0073152889539136795
2020-2021,Manchester United,Mason Greenwood,1826,36,25,11,0.006024096385542169
2020-2021,Manchester United,Fred,2396,47,23,24,0.01001669449081803
2020-2021,Manchester United,Bruno Fernandes,3109,66,34,32,0.010292698616918623
2020-2021,Manchester United,Luke Shaw,2655,48,31,17,0.0064030131826741995
2020-2021,Manchester United,Aaron Wan-Bissaka,3060,64,35,29,0.009477124183006535
2020-2021,Manchester United,Axel Tuanzebe,400,7,6,1,0.0025
2020-2021,Manchester United,Scott McTominay,2125,47,23,24,0.011294117647058824
2020-2021,Manchester United,Dean Henderson,1124,26,12,14,0.012455516014234875
2020-2021,Manchester United,Eric Bailly,915,16,16,0,0.0
2020-2021,Manchester United,Juan Mata,511,13,5,8,0.015655577299412915
2020-2021,Manchester United,Marcus Rashford,2927,55,37,18,0.0061496412709258624
2020-2021,Manchester United,Amad Diallo,167,3,3,0,0.0
2020-2021,Manchester United,Alex Telles,692,15,11,4,0.005780346820809248
2020-2021,Manchester United,Nemanja Matić,1099,20,18,2,0.0018198362147406734
2020-2021,Manchester United,Brandon Williams,186,4,3,1,0.005376344086021506
2020-2021,Manchester United,Donny van de Beek,510,18,11,7,0.013725490196078431
2020-2021,Southampton,Alex McCarthy,2700,37,56,-19,-0.007037037037037037
2020-2021,Southampton,Kyle Walker-Peters,2649,41,41,0,0.0
2020-2021,Southampton,Jannik Vestergaard,2654,43,47,-4,-0.0015071590052750565
2020-2021,Southampton,Jack Stephens,1538,18,38,-20,-0.013003901170351105
2020-2021,Southampton,James Ward-Prowse,3420,47,67,-20,-0.005847953216374269
2020-2021,Southampton,Che Adams,2675,39,50,-11,-0.00411214953271028
2020-2021,Southampton,Moussa Djenepo,1239,12,26,-14,-0.011299435028248588
2020-2021,Southampton,Stuart Armstrong,2774,39,56,-17,-0.0061283345349675555
2020-2021,Southampton,Mohammed Salisu,841,10,19,-9,-0.01070154577883472
2020-2021,Southampton,Nathan Tella,741,9,11,-2,-0.002699055330634278
2020-2021,Southampton,Theo Walcott,1641,23,28,-5,-0.0030469226081657527
2020-2021,Southampton,Fraser Forster,720,10,11,-1,-0.001388888888888889
2020-2021,Southampton,Danny Ings,2183,33,39,-6,-0.002748511223087494
2020-2021,Southampton,Nathan Redmond,1730,24,39,-15,-0.008670520231213872
2020-2021,Southampton,Michael Obafemi,57,0,2,-2,-0.03508771929824561
2020-2021,Southampton,Takumi Minamino,1003,23,18,5,0.004985044865403789
2020-2021,Southampton,Ibrahima Diallo,1010,10,21,-11,-0.01089108910891089
2020-2021,Southampton,Jan Bednarek,3108,41,61,-20,-0.006435006435006435
2020-2021,Southampton,Dan Nlundulu,98,0,1,-1,-0.01020408163265306
2020-2021,Brighton & Hove Albion,Robert Sánchez,2430,26,26,0,0.0
